4519,16302,11780,1,82912
18603,31375,12769,1,82848
33698,34470,769,0,82848
36717,37480,759,0,82848
39735,40499,761,0,82848
42764,43534,767,0,82848
45778,46549,767,0,82848
48789,49560,768,0,82848
51799,52567,764,0,82864
54812,55576,760,0,82864
57843,58607,761,0,82864
60874,61636,759,0,82864
63894,64663,766,0,82800
66907,67671,761,0,82800
69926,70703,774,0,82800
72954,73719,761,0,82800
75987,76749,759,0,82800
79017,79781,761,0,82800
82047,82809,759,0,82800
85074,85837,760,0,82800
88093,88862,765,0,82800
91115,91879,760,0,82800
94148,94912,761,0,82800
97187,97951,761,0,82800
100208,100976,765,0,82800
103235,103999,761,0,82800
106263,107032,765,0,82800
109283,110052,766,0,82800
112306,113071,761,0,82800
115335,116105,766,0,82800
118356,119122,763,0,82800
121389,122151,759,0,82800
124403,125168,761,0,82800
127416,128181,761,0,82800
130438,131201,760,0,82800
133456,134220,760,0,82800
136484,137248,761,0,82800
139517,140281,761,0,82800
142533,143297,760,0,82800
145553,146324,768,0,82800
