182213,183599,1386,0,82704,1,242,79,127
188253,189645,1392,0,82704,1,242,80,127
191284,192670,1386,0,82672,1,242,77,127
192795,194182,1387,0,82704,1,242,70,127
194316,195702,1386,0,82704,1,242,93,127
195829,197215,1386,0,82704,1,242,79,127
197348,198736,1388,0,82704,1,242,82,127
198854,200242,1388,0,82704,1,242,83,127
200375,201761,1386,0,82704,1,242,86,127
201897,203278,1381,0,82704,1,242,81,127
203413,204799,1386,0,82704,1,242,77,127
204936,206322,1386,0,82704,1,242,79,127
206448,207835,1387,0,82704,1,242,86,127
207956,209343,1387,0,82704,1,242,75,127
210988,212380,1392,0,82704,1,242,85,127
212516,213902,1387,0,82704,1,242,79,127
214039,215427,1388,0,82704,1,242,86,127
215564,216944,1380,0,82704,1,242,71,127
217078,218465,1387,0,82704,1,242,76,127
218607,219993,1386,0,82704,1,242,85,127
220129,221515,1386,0,82704,1,242,84,127
221658,223044,1386,0,82704,1,242,83,127
224770,226159,1389,0,82704,1,242,80,127
226308,227695,1387,0,82704,1,242,78,127
227819,229205,1386,0,82704,1,242,82,127
229335,230723,1388,0,82704,1,242,78,127
230853,232240,1387,0,82704,1,242,86,127
364899,366285,1386,0,81920,1,238,82,126
367428,368815,1388,0,81904,1,238,81,126
369966,371350,1384,0,81920,1,238,84,126
372500,373888,1388,0,81920,1,238,84,126
387138,388519,1381,1,81920,1,238,74,126
389670,391057,1387,0,81920,1,238,83,126
392196,393581,1385,0,81920,1,238,86,126
394719,396106,1387,0,81920,1,238,89,126
397250,398637,1387,0,81920,1,238,84,126
411887,413269,1382,1,81920,1,238,86,126
414418,415803,1385,0,81920,1,238,78,126
