5498,6264,763,0,82912
8505,9266,757,0,82848
11528,25300,13769,1,82848
27593,28359,763,0,82848
30608,31370,759,0,82848
33627,42398,8767,1,82896
44695,45462,763,0,82848
47737,48499,759,0,82848
50758,51526,765,0,82848
53774,54535,758,0,82848
56807,57570,760,0,82848
59833,60595,758,0,82848
62855,63617,759,0,82848
65867,66629,758,0,82848
68885,69647,758,0,82848
71906,72662,752,0,82880
74936,87710,12771,1,82848
89996,90762,762,0,82848
93015,93777,759,0,82848
96032,96801,765,0,82848
99049,99811,759,0,82848
102063,102831,765,0,82800
105080,105846,762,0,82800
108115,108877,758,0,82800
111139,111905,763,0,82800
114159,114925,762,0,82800
117185,117948,760,0,82800
120214,120980,763,0,82800
123235,135018,11780,1,82800
137317,138084,764,0,82800
140363,141120,753,0,82832
143395,144156,758,0,82800
146413,147178,761,0,82800
149437,150198,758,0,82800
152466,153228,758,0,82800
155494,156256,759,0,82800
158517,159278,757,0,82800
161534,162298,761,0,82800
164555,165317,758,0,82800
167580,168337,753,0,82832
