444240,447216,2976,1,80032,3,550,85,131,2.89
448334,451308,2974,0,80032,3,550,77,131,2.89
452433,455403,2970,0,80032,3,550,91,131,2.89
456515,459483,2968,0,80032,3,550,77,131,2.90
460609,463587,2978,0,80032,3,550,74,131,2.89
464699,467677,2978,0,80032,3,550,90,131,2.89
468786,471762,2977,0,80032,3,550,86,131,2.89
472889,475867,2978,0,80032,3,550,87,131,2.89
476978,479952,2974,0,80032,3,550,76,131,2.89
481074,484048,2974,0,80032,3,550,82,131,2.89
485159,488139,2980,0,80032,3,550,78,131,2.88
489245,492219,2974,0,80032,3,550,75,131,2.89
505507,508481,2974,1,80032,3,550,81,131,2.89
509603,512577,2974,0,80032,3,550,77,131,2.89
513724,516688,2964,0,80032,3,550,81,131,2.90
517812,520787,2975,0,80032,3,550,76,131,2.89
534063,537030,2967,1,80032,3,550,87,131,2.90
538153,541127,2974,0,80032,3,550,87,131,2.89
542270,545243,2973,0,79984,3,550,83,132,2.89
546379,549354,2975,0,79984,3,550,78,132,2.89
550490,553470,2980,0,79984,3,550,76,132,2.88
554599,557578,2979,0,79984,3,550,94,132,2.88
558773,561746,2973,0,79984,3,550,78,132,2.89
562854,565828,2974,0,79984,3,550,72,132,2.89
566948,569927,2979,0,79984,3,550,85,131,2.88
571036,574009,2973,0,79984,3,550,83,132,2.89
575113,578079,2966,0,79984,3,550,79,132,2.90
591337,594309,2972,1,79984,3,550,74,132,2.89
595429,598407,2978,0,79984,3,550,78,132,2.89
599517,602493,2976,0,79984,3,550,83,132,2.89
603629,606601,2972,0,79952,3,550,83,132,2.89
607726,610699,2973,0,79952,3,550,86,132,2.89
611845,614814,2969,0,79952,3,550,85,132,2.89
615948,618923,2975,0,79904,3,550,83,132,2.89
620058,623030,2972,0,79904,3,550,84,132,2.89
624166,627141,2975,0,79904,3,550,78,132,2.89
640437,643410,2973,1,79904,3,550,83,132,2.89
644544,647519,2975,0,79904,3,550,78,132,2.89
648648,651623,2976,0,79904,3,550,81,132,2.89
652755,655729,2974,0,79904,3,550,78,133,2.89
