234374,235143,765,0,82960
237385,238149,761,0,82896
240415,241185,766,0,82896
243444,244209,761,0,82896
246464,247226,759,0,82896
249487,250250,760,0,82896
252495,253259,760,0,82896
255518,256282,760,0,82896
259405,260169,761,0,82896
262429,263191,759,0,82896
265453,266218,762,0,82896
268486,269256,767,0,82896
271507,272276,766,0,82896
274524,275288,760,0,82896
277544,278308,760,0,82896
280578,281343,762,0,82896
283609,284374,761,0,82896
286637,287402,761,0,82896
289660,290429,765,0,82896
292679,293450,767,0,82928
295692,296462,766,0,82928
298728,299492,760,0,82928
301744,302513,766,0,82928
304778,305542,761,0,82928
307798,308567,765,0,82928
310817,311586,765,0,82928
313837,314607,767,0,82928
316858,317622,761,0,82928
319875,320640,762,0,82928
322907,323671,761,0,82928
325927,326691,761,0,82928
328954,329719,762,0,82928
331974,332737,759,0,82928
334998,335763,761,0,82928
338017,349796,11776,1,82928
352105,352878,770,0,82928
355128,355892,760,0,82928
358154,358917,759,0,82928
361176,361941,762,0,82928
364198,364962,760,0,82928
