3204677,3205439,759,0,82992
3207708,3208465,753,0,82960
3210738,3211494,753,0,82960
3213756,3214521,762,0,82928
3216783,3217544,758,0,82928
3219818,3220580,758,0,82928
3222848,3223611,760,0,82928
3225886,3226649,759,0,82928
3228927,3229690,759,0,82928
3231953,3232719,763,0,82928
3234972,3235740,765,0,82928
3238000,3238762,759,0,82960
3241030,3241793,759,0,82960
3244066,3244830,761,0,82960
3247090,3247858,764,0,82960
3250111,3250873,759,0,82992
3253141,3253904,760,0,82960
3256166,3256926,757,0,82992
3259183,3259954,768,0,82960
3262215,3262983,764,0,82960
3265237,3266007,766,0,82960
3268264,3269033,766,0,82960
3271283,3272052,766,0,82960
3274298,3275066,765,0,82960
3277322,3278091,765,0,82960
3280349,3281116,764,0,82960
3283400,3284172,768,0,82960
3286444,3287207,760,0,82960
3289479,3290242,759,0,82960
3292498,3293261,760,0,82960
3295507,3296273,763,0,82960
3299405,3300166,758,0,82960
3302423,3303193,767,0,82960
3305458,3306219,758,0,82960
3308484,3309247,760,0,82960
3311503,3312271,764,0,82960
3314525,3315293,765,0,82960
3317548,3318312,760,0,82960
3320558,3321328,766,0,82960
3323579,3324348,765,0,82960
